"","celltype","group","counts"
"1","AT1","Normal",26
"2","AT2","Normal",68
"3","B","Normal",21
"4","Basal","Normal",27
"5","Basophil_Mast","Normal",30
"6","Ciliated","Normal",16
"7","DC","Normal",60
"8","Endothelial","Normal",113
"9","Epithelial","Normal",36
"10","Fibroblast","Normal",32
"11","Macrophages","Normal",617
"12","Mesothelial","Normal",37
"13","Monocytes","Normal",129
"14","NK","Normal",124
"15","Plasma","Normal",15
"16","Stromal","Normal",26
"17","T","Normal",586
"18","AT1","SCLC",34
"19","AT2","SCLC",51
"20","B","SCLC",235
"21","Basal","SCLC",323
"22","Basophil_Mast","SCLC",81
"23","Ciliated","SCLC",42
"24","DC","SCLC",120
"25","Endothelial","SCLC",41
"26","Epithelial","SCLC",123
"27","Fibroblast","SCLC",34
"28","Macrophages","SCLC",377
"29","Mesothelial","SCLC",0
"30","Monocytes","SCLC",155
"31","NK","SCLC",213
"32","Plasma","SCLC",84
"33","Stromal","SCLC",35
"34","T","SCLC",3005
"35","AT1","Tumor",0
"36","AT2","Tumor",0
"37","B","Tumor",2
"38","Basal","Tumor",3
"39","Basophil_Mast","Tumor",3
"40","Ciliated","Tumor",1
"41","DC","Tumor",10
"42","Endothelial","Tumor",100
"43","Epithelial","Tumor",12
"44","Fibroblast","Tumor",5
"45","Macrophages","Tumor",24
"46","Mesothelial","Tumor",2
"47","Monocytes","Tumor",8
"48","NK","Tumor",12
"49","Plasma","Tumor",1
"50","Stromal","Tumor",55
"51","T","Tumor",39
