"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SFTPA1",0,6.67091364802121,0.857,0.044,0,"AT2","SFTPA1"
"SFTPA2",0,6.35261248145679,0.84,0.046,0,"AT2","SFTPA2"
"NAPSA",0,4.87568261498617,0.815,0.038,0,"AT2","NAPSA"
"PGC",0,3.63707622067211,0.538,0.004,0,"AT2","PGC"
"SFTPD",0,3.57879374522537,0.622,0.01,0,"AT2","SFTPD"
"PIGR",0,3.14728153796344,0.655,0.02,0,"AT2","PIGR"
"DMBT1",0,2.41205981434149,0.387,0.002,0,"AT2","DMBT1"
"SLC6A14",0,2.24640141787736,0.454,0.007,0,"AT2","SLC6A14"
"LAMP3",0,2.14084629393227,0.546,0.012,0,"AT2","LAMP3"
"WIF1",0,2.03320007663918,0.479,0.004,0,"AT2","WIF1"
"ABCA3",0,2.03164190243853,0.538,0.014,0,"AT2","ABCA3"
"C4BPA",0,1.97256488112419,0.555,0.004,0,"AT2","C4BPA"
"PEBP4",0,1.75103052328213,0.538,0.008,0,"AT2","PEBP4"
"CLDN18",0,1.71279828044111,0.471,0.005,0,"AT2","CLDN18"
"ALPL",0,1.36812541430802,0.454,0.009,0,"AT2","ALPL"
"SLC22A31",0,1.33865611833946,0.496,0.01,0,"AT2","SLC22A31"
"SUSD2",0,1.22695368233521,0.496,0.01,0,"AT2","SUSD2"
"HHIP",0,1.20137972921531,0.412,0.002,0,"AT2","HHIP"
"CRTAC1",0,0.93072139123093,0.403,0.004,0,"AT2","CRTAC1"
"PLA2G1B",0,0.728114058730958,0.311,0.001,0,"AT2","PLA2G1B"
"NECAB1",0,0.60174661411705,0.303,0.002,0,"AT2","NECAB1"
"ROS1",0,0.586233973632699,0.378,0.001,0,"AT2","ROS1"
"AGTR2",0,0.576441681664176,0.21,0,0,"AT2","AGTR2"
"ALOX15B",1.29624359832987e-307,1.03417403223413,0.361,0.005,3.82832584330744e-303,"AT2","ALOX15B"
"CPB2",6.50448465021756e-307,0.643727271733784,0.252,0.001,1.92103449659525e-302,"AT2","CPB2"
"VEPH1",4.83437536108222e-305,0.63420082731011,0.328,0.004,1.42778441914202e-300,"AT2","VEPH1"
"HSD17B6",6.47534273258726e-293,0.95228713916624,0.445,0.01,1.91242772264232e-288,"AT2","HSD17B6"
"SLC26A9",5.05892830281873e-287,0.691521924402723,0.286,0.003,1.49410388495448e-282,"AT2","SLC26A9"
"CFTR",1.62789236781828e-284,0.622431594671063,0.311,0.004,4.80781731911451e-280,"AT2","CFTR"
"C16orf89",6.49673367712474e-284,1.67973508444842,0.58,0.02,1.91874532420202e-279,"AT2","C16orf89"
"TMPRSS2",1.58064023753503e-283,1.18414701475155,0.571,0.019,4.66826287753596e-279,"AT2","TMPRSS2"
"ZNF385B",2.29792340082702e-281,0.611476525319575,0.294,0.003,6.78668697200253e-277,"AT2","ZNF385B"
"SLC34A2",3.37572180158965e-276,3.28935594839806,0.739,0.039,9.96985676881486e-272,"AT2","SLC34A2"
