"","celltype","group","counts"
"1","AT1","GSM3635285",0
"2","AT2","GSM3635285",1
"3","B","GSM3635285",3
"4","Basal","GSM3635285",0
"5","Basophil_Mast","GSM3635285",0
"6","Ciliated","GSM3635285",0
"7","DC","GSM3635285",0
"8","Endothelial","GSM3635285",1
"9","Epithelial","GSM3635285",0
"10","Fibroblast","GSM3635285",0
"11","Macrophages","GSM3635285",14
"12","Mesothelial","GSM3635285",0
"13","Monocytes","GSM3635285",2
"14","NK","GSM3635285",0
"15","Plasma","GSM3635285",0
"16","Stromal","GSM3635285",2
"17","T","GSM3635285",6
"18","AT1","GSM3635286",0
"19","AT2","GSM3635286",3
"20","B","GSM3635286",2
"21","Basal","GSM3635286",1
"22","Basophil_Mast","GSM3635286",0
"23","Ciliated","GSM3635286",0
"24","DC","GSM3635286",0
"25","Endothelial","GSM3635286",1
"26","Epithelial","GSM3635286",0
"27","Fibroblast","GSM3635286",1
"28","Macrophages","GSM3635286",8
"29","Mesothelial","GSM3635286",0
"30","Monocytes","GSM3635286",1
"31","NK","GSM3635286",0
"32","Plasma","GSM3635286",0
"33","Stromal","GSM3635286",0
"34","T","GSM3635286",4
"35","AT1","GSM3635296",8
"36","AT2","GSM3635296",19
"37","B","GSM3635296",21
"38","Basal","GSM3635296",0
"39","Basophil_Mast","GSM3635296",0
"40","Ciliated","GSM3635296",1
"41","DC","GSM3635296",7
"42","Endothelial","GSM3635296",4
"43","Epithelial","GSM3635296",11
"44","Fibroblast","GSM3635296",7
"45","Macrophages","GSM3635296",47
"46","Mesothelial","GSM3635296",0
"47","Monocytes","GSM3635296",3
"48","NK","GSM3635296",1
"49","Plasma","GSM3635296",1
"50","Stromal","GSM3635296",2
"51","T","GSM3635296",52
"52","AT1","GSM3635298",1
"53","AT2","GSM3635298",5
"54","B","GSM3635298",39
"55","Basal","GSM3635298",0
"56","Basophil_Mast","GSM3635298",7
"57","Ciliated","GSM3635298",22
"58","DC","GSM3635298",16
"59","Endothelial","GSM3635298",7
"60","Epithelial","GSM3635298",9
"61","Fibroblast","GSM3635298",1
"62","Macrophages","GSM3635298",19
"63","Mesothelial","GSM3635298",0
"64","Monocytes","GSM3635298",7
"65","NK","GSM3635298",3
"66","Plasma","GSM3635298",17
"67","Stromal","GSM3635298",4
"68","T","GSM3635298",117
"69","AT1","GSM3635301",2
"70","AT2","GSM3635301",5
"71","B","GSM3635301",10
"72","Basal","GSM3635301",1
"73","Basophil_Mast","GSM3635301",11
"74","Ciliated","GSM3635301",0
"75","DC","GSM3635301",42
"76","Endothelial","GSM3635301",3
"77","Epithelial","GSM3635301",24
"78","Fibroblast","GSM3635301",1
"79","Macrophages","GSM3635301",95
"80","Mesothelial","GSM3635301",0
"81","Monocytes","GSM3635301",39
"82","NK","GSM3635301",1
"83","Plasma","GSM3635301",8
"84","Stromal","GSM3635301",2
"85","T","GSM3635301",36
"86","AT1","GSM3635302",1
"87","AT2","GSM3635302",2
"88","B","GSM3635302",6
"89","Basal","GSM3635302",0
"90","Basophil_Mast","GSM3635302",6
"91","Ciliated","GSM3635302",0
"92","DC","GSM3635302",35
"93","Endothelial","GSM3635302",3
"94","Epithelial","GSM3635302",25
"95","Fibroblast","GSM3635302",1
"96","Macrophages","GSM3635302",97
"97","Mesothelial","GSM3635302",0
"98","Monocytes","GSM3635302",32
"99","NK","GSM3635302",3
"100","Plasma","GSM3635302",4
"101","Stromal","GSM3635302",1
"102","T","GSM3635302",54
"103","AT1","GSM4186959",9
"104","AT2","GSM4186959",6
"105","B","GSM4186959",16
"106","Basal","GSM4186959",40
"107","Basophil_Mast","GSM4186959",6
"108","Ciliated","GSM4186959",4
"109","DC","GSM4186959",12
"110","Endothelial","GSM4186959",8
"111","Epithelial","GSM4186959",5
"112","Fibroblast","GSM4186959",5
"113","Macrophages","GSM4186959",41
"114","Mesothelial","GSM4186959",0
"115","Monocytes","GSM4186959",8
"116","NK","GSM4186959",6
"117","Plasma","GSM4186959",5
"118","Stromal","GSM4186959",10
"119","T","GSM4186959",92
"120","AT1","GSM4186960",13
"121","AT2","GSM4186960",5
"122","B","GSM4186960",3
"123","Basal","GSM4186960",153
"124","Basophil_Mast","GSM4186960",0
"125","Ciliated","GSM4186960",9
"126","DC","GSM4186960",0
"127","Endothelial","GSM4186960",12
"128","Epithelial","GSM4186960",47
"129","Fibroblast","GSM4186960",18
"130","Macrophages","GSM4186960",4
"131","Mesothelial","GSM4186960",0
"132","Monocytes","GSM4186960",0
"133","NK","GSM4186960",0
"134","Plasma","GSM4186960",0
"135","Stromal","GSM4186960",14
"136","T","GSM4186960",0
"137","AT1","GSM4301253",0
"138","AT2","GSM4301253",1
"139","B","GSM4301253",1
"140","Basal","GSM4301253",0
"141","Basophil_Mast","GSM4301253",0
"142","Ciliated","GSM4301253",0
"143","DC","GSM4301253",0
"144","Endothelial","GSM4301253",1
"145","Epithelial","GSM4301253",0
"146","Fibroblast","GSM4301253",0
"147","Macrophages","GSM4301253",14
"148","Mesothelial","GSM4301253",0
"149","Monocytes","GSM4301253",0
"150","NK","GSM4301253",1
"151","Plasma","GSM4301253",0
"152","Stromal","GSM4301253",0
"153","T","GSM4301253",261
"154","AT1","GSM4301256",0
"155","AT2","GSM4301256",0
"156","B","GSM4301256",38
"157","Basal","GSM4301256",0
"158","Basophil_Mast","GSM4301256",21
"159","Ciliated","GSM4301256",0
"160","DC","GSM4301256",1
"161","Endothelial","GSM4301256",0
"162","Epithelial","GSM4301256",0
"163","Fibroblast","GSM4301256",0
"164","Macrophages","GSM4301256",17
"165","Mesothelial","GSM4301256",0
"166","Monocytes","GSM4301256",8
"167","NK","GSM4301256",2
"168","Plasma","GSM4301256",3
"169","Stromal","GSM4301256",0
"170","T","GSM4301256",187
"171","AT1","GSM4301257",0
"172","AT2","GSM4301257",0
"173","B","GSM4301257",10
"174","Basal","GSM4301257",2
"175","Basophil_Mast","GSM4301257",29
"176","Ciliated","GSM4301257",0
"177","DC","GSM4301257",7
"178","Endothelial","GSM4301257",0
"179","Epithelial","GSM4301257",0
"180","Fibroblast","GSM4301257",0
"181","Macrophages","GSM4301257",5
"182","Mesothelial","GSM4301257",0
"183","Monocytes","GSM4301257",55
"184","NK","GSM4301257",12
"185","Plasma","GSM4301257",6
"186","Stromal","GSM4301257",0
"187","T","GSM4301257",151
"188","AT1","GSM4301259",0
"189","AT2","GSM4301259",0
"190","B","GSM4301259",8
"191","Basal","GSM4301259",0
"192","Basophil_Mast","GSM4301259",0
"193","Ciliated","GSM4301259",0
"194","DC","GSM4301259",0
"195","Endothelial","GSM4301259",0
"196","Epithelial","GSM4301259",0
"197","Fibroblast","GSM4301259",0
"198","Macrophages","GSM4301259",10
"199","Mesothelial","GSM4301259",0
"200","Monocytes","GSM4301259",0
"201","NK","GSM4301259",41
"202","Plasma","GSM4301259",1
"203","Stromal","GSM4301259",0
"204","T","GSM4301259",219
"205","AT1","GSM5444606",0
"206","AT2","GSM5444606",0
"207","B","GSM5444606",1
"208","Basal","GSM5444606",0
"209","Basophil_Mast","GSM5444606",0
"210","Ciliated","GSM5444606",0
"211","DC","GSM5444606",0
"212","Endothelial","GSM5444606",0
"213","Epithelial","GSM5444606",0
"214","Fibroblast","GSM5444606",0
"215","Macrophages","GSM5444606",0
"216","Mesothelial","GSM5444606",0
"217","Monocytes","GSM5444606",0
"218","NK","GSM5444606",9
"219","Plasma","GSM5444606",2
"220","Stromal","GSM5444606",0
"221","T","GSM5444606",78
"222","AT1","GSM5444607",0
"223","AT2","GSM5444607",0
"224","B","GSM5444607",0
"225","Basal","GSM5444607",0
"226","Basophil_Mast","GSM5444607",0
"227","Ciliated","GSM5444607",0
"228","DC","GSM5444607",0
"229","Endothelial","GSM5444607",0
"230","Epithelial","GSM5444607",0
"231","Fibroblast","GSM5444607",0
"232","Macrophages","GSM5444607",2
"233","Mesothelial","GSM5444607",0
"234","Monocytes","GSM5444607",0
"235","NK","GSM5444607",6
"236","Plasma","GSM5444607",1
"237","Stromal","GSM5444607",0
"238","T","GSM5444607",85
"239","AT1","GSM5444608",0
"240","AT2","GSM5444608",0
"241","B","GSM5444608",1
"242","Basal","GSM5444608",3
"243","Basophil_Mast","GSM5444608",0
"244","Ciliated","GSM5444608",1
"245","DC","GSM5444608",0
"246","Endothelial","GSM5444608",0
"247","Epithelial","GSM5444608",0
"248","Fibroblast","GSM5444608",0
"249","Macrophages","GSM5444608",0
"250","Mesothelial","GSM5444608",0
"251","Monocytes","GSM5444608",0
"252","NK","GSM5444608",2
"253","Plasma","GSM5444608",2
"254","Stromal","GSM5444608",0
"255","T","GSM5444608",54
"256","AT1","GSM5444611",0
"257","AT2","GSM5444611",0
"258","B","GSM5444611",0
"259","Basal","GSM5444611",0
"260","Basophil_Mast","GSM5444611",0
"261","Ciliated","GSM5444611",0
"262","DC","GSM5444611",0
"263","Endothelial","GSM5444611",0
"264","Epithelial","GSM5444611",0
"265","Fibroblast","GSM5444611",0
"266","Macrophages","GSM5444611",0
"267","Mesothelial","GSM5444611",0
"268","Monocytes","GSM5444611",0
"269","NK","GSM5444611",1
"270","Plasma","GSM5444611",0
"271","Stromal","GSM5444611",0
"272","T","GSM5444611",5
"273","AT1","GSM5444613",0
"274","AT2","GSM5444613",0
"275","B","GSM5444613",0
"276","Basal","GSM5444613",5
"277","Basophil_Mast","GSM5444613",0
"278","Ciliated","GSM5444613",0
"279","DC","GSM5444613",0
"280","Endothelial","GSM5444613",0
"281","Epithelial","GSM5444613",0
"282","Fibroblast","GSM5444613",0
"283","Macrophages","GSM5444613",0
"284","Mesothelial","GSM5444613",0
"285","Monocytes","GSM5444613",0
"286","NK","GSM5444613",2
"287","Plasma","GSM5444613",0
"288","Stromal","GSM5444613",0
"289","T","GSM5444613",9
"290","AT1","GSM5444614",0
"291","AT2","GSM5444614",0
"292","B","GSM5444614",0
"293","Basal","GSM5444614",0
"294","Basophil_Mast","GSM5444614",0
"295","Ciliated","GSM5444614",0
"296","DC","GSM5444614",0
"297","Endothelial","GSM5444614",0
"298","Epithelial","GSM5444614",0
"299","Fibroblast","GSM5444614",0
"300","Macrophages","GSM5444614",0
"301","Mesothelial","GSM5444614",0
"302","Monocytes","GSM5444614",0
"303","NK","GSM5444614",10
"304","Plasma","GSM5444614",0
"305","Stromal","GSM5444614",0
"306","T","GSM5444614",30
"307","AT1","GSM5444618",0
"308","AT2","GSM5444618",0
"309","B","GSM5444618",1
"310","Basal","GSM5444618",0
"311","Basophil_Mast","GSM5444618",0
"312","Ciliated","GSM5444618",0
"313","DC","GSM5444618",0
"314","Endothelial","GSM5444618",0
"315","Epithelial","GSM5444618",0
"316","Fibroblast","GSM5444618",0
"317","Macrophages","GSM5444618",0
"318","Mesothelial","GSM5444618",0
"319","Monocytes","GSM5444618",0
"320","NK","GSM5444618",2
"321","Plasma","GSM5444618",1
"322","Stromal","GSM5444618",0
"323","T","GSM5444618",45
"324","AT1","GSM5444619",0
"325","AT2","GSM5444619",1
"326","B","GSM5444619",5
"327","Basal","GSM5444619",21
"328","Basophil_Mast","GSM5444619",0
"329","Ciliated","GSM5444619",0
"330","DC","GSM5444619",0
"331","Endothelial","GSM5444619",0
"332","Epithelial","GSM5444619",0
"333","Fibroblast","GSM5444619",0
"334","Macrophages","GSM5444619",0
"335","Mesothelial","GSM5444619",0
"336","Monocytes","GSM5444619",0
"337","NK","GSM5444619",7
"338","Plasma","GSM5444619",3
"339","Stromal","GSM5444619",0
"340","T","GSM5444619",62
"341","AT1","GSM5444621",0
"342","AT2","GSM5444621",0
"343","B","GSM5444621",0
"344","Basal","GSM5444621",0
"345","Basophil_Mast","GSM5444621",0
"346","Ciliated","GSM5444621",0
"347","DC","GSM5444621",0
"348","Endothelial","GSM5444621",0
"349","Epithelial","GSM5444621",0
"350","Fibroblast","GSM5444621",0
"351","Macrophages","GSM5444621",0
"352","Mesothelial","GSM5444621",0
"353","Monocytes","GSM5444621",0
"354","NK","GSM5444621",3
"355","Plasma","GSM5444621",1
"356","Stromal","GSM5444621",0
"357","T","GSM5444621",85
"358","AT1","GSM5444625",0
"359","AT2","GSM5444625",0
"360","B","GSM5444625",1
"361","Basal","GSM5444625",2
"362","Basophil_Mast","GSM5444625",0
"363","Ciliated","GSM5444625",2
"364","DC","GSM5444625",0
