"","celltype","group","counts"
"1","AT1","GSE127465",12
"2","AT2","GSE127465",35
"3","B","GSE127465",81
"4","Basal","GSE127465",2
"5","Basophil_Mast","GSE127465",24
"6","Ciliated","GSE127465",23
"7","DC","GSE127465",100
"8","Endothelial","GSE127465",19
"9","Epithelial","GSE127465",69
"10","Fibroblast","GSE127465",11
"11","Macrophages","GSE127465",280
"12","Mesothelial","GSE127465",0
"13","Monocytes","GSE127465",84
"14","NK","GSE127465",8
"15","Plasma","GSE127465",30
"16","Stromal","GSE127465",11
"17","T","GSE127465",269
"18","AT1","GSE140819",22
"19","AT2","GSE140819",11
"20","B","GSE140819",19
"21","Basal","GSE140819",193
"22","Basophil_Mast","GSE140819",6
"23","Ciliated","GSE140819",13
"24","DC","GSE140819",12
"25","Endothelial","GSE140819",20
"26","Epithelial","GSE140819",52
"27","Fibroblast","GSE140819",23
"28","Macrophages","GSE140819",45
"29","Mesothelial","GSE140819",0
"30","Monocytes","GSE140819",8
"31","NK","GSE140819",6
"32","Plasma","GSE140819",5
"33","Stromal","GSE140819",24
"34","T","GSE140819",92
"35","AT1","GSE144945",0
"36","AT2","GSE144945",1
"37","B","GSE144945",57
"38","Basal","GSE144945",2
"39","Basophil_Mast","GSE144945",50
"40","Ciliated","GSE144945",0
"41","DC","GSE144945",8
"42","Endothelial","GSE144945",1
"43","Epithelial","GSE144945",0
"44","Fibroblast","GSE144945",0
"45","Macrophages","GSE144945",46
"46","Mesothelial","GSE144945",0
"47","Monocytes","GSE144945",63
"48","NK","GSE144945",56
"49","Plasma","GSE144945",10
"50","Stromal","GSE144945",0
"51","T","GSE144945",818
"52","AT1","GSE179994",0
"53","AT2","GSE179994",4
"54","B","GSE179994",78
"55","Basal","GSE179994",126
"56","Basophil_Mast","GSE179994",1
"57","Ciliated","GSE179994",6
"58","DC","GSE179994",0
"59","Endothelial","GSE179994",1
"60","Epithelial","GSE179994",2
"61","Fibroblast","GSE179994",0
"62","Macrophages","GSE179994",6
"63","Mesothelial","GSE179994",0
"64","Monocytes","GSE179994",0
"65","NK","GSE179994",143
"66","Plasma","GSE179994",39
"67","Stromal","GSE179994",0
"68","T","GSE179994",1826
"69","AT1","GSE196303",26
"70","AT2","GSE196303",68
"71","B","GSE196303",23
"72","Basal","GSE196303",30
"73","Basophil_Mast","GSE196303",33
"74","Ciliated","GSE196303",17
"75","DC","GSE196303",70
"76","Endothelial","GSE196303",213
"77","Epithelial","GSE196303",48
"78","Fibroblast","GSE196303",37
"79","Macrophages","GSE196303",641
"80","Mesothelial","GSE196303",39
"81","Monocytes","GSE196303",137
"82","NK","GSE196303",136
"83","Plasma","GSE196303",16
"84","Stromal","GSE196303",81
"85","T","GSE196303",625
