"","accession","groups"
"106","GSM3635278","SCLC"
"107","GSM3635279","SCLC"
"108","GSM3635280","SCLC"
"109","GSM3635281","SCLC"
"110","GSM3635285","SCLC"
"111","GSM3635286","SCLC"
"112","GSM3635288","SCLC"
"113","GSM3635289","SCLC"
"114","GSM3635290","SCLC"
"115","GSM3635292","SCLC"
"116","GSM3635293","SCLC"
"117","GSM3635294","SCLC"
"118","GSM3635296","SCLC"
"119","GSM3635297","SCLC"
"120","GSM3635298","SCLC"
"121","GSM3635299","SCLC"
"122","GSM3635301","SCLC"
"123","GSM3635302","SCLC"
"144","GSM5032894","Tumor"
"506","GSM5444604","SCLC"
"507","GSM5444605","SCLC"
"508","GSM5444606","SCLC"
"509","GSM5444607","SCLC"
"510","GSM5444608","SCLC"
"511","GSM5444609","SCLC"
"512","GSM5444610","SCLC"
"513","GSM5444611","SCLC"
"514","GSM5444612","SCLC"
"515","GSM5444613","SCLC"
"516","GSM5444614","SCLC"
"517","GSM5444615","SCLC"
"518","GSM5444616","SCLC"
"519","GSM5444617","SCLC"
"520","GSM5444618","SCLC"
"521","GSM5444619","SCLC"
"522","GSM5444620","SCLC"
"523","GSM5444621","SCLC"
"524","GSM5444622","SCLC"
"525","GSM5444623","SCLC"
"526","GSM5444624","SCLC"
"527","GSM5444625","SCLC"
"528","GSM5444626","SCLC"
"529","GSM5444627","SCLC"
"530","GSM5444628","SCLC"
"531","GSM5444629","SCLC"
"532","GSM5444630","SCLC"
"533","GSM5444631","SCLC"
"534","GSM5444632","SCLC"
"535","GSM5444633","SCLC"
"536","GSM5444634","SCLC"
"537","GSM5444635","SCLC"
"538","GSM5444636","SCLC"
"539","GSM5444637","SCLC"
"540","GSM5444638","SCLC"
"541","GSM5444639","SCLC"
"542","GSM5444640","SCLC"
"543","GSM5444641","SCLC"
"544","GSM5444642","SCLC"
"545","GSM5444643","SCLC"
"546","GSM5444644","SCLC"
"547","GSM5444645","SCLC"
"548","GSM5444646","SCLC"
"549","GSM5444647","SCLC"
"550","GSM5444648","SCLC"
"551","GSM5444649","SCLC"
"552","GSM5444650","SCLC"
"592","GSM5870246","Normal"
"593","GSM5870247","Normal"
"594","GSM5870248","Normal"
"595","GSM5870249","Normal"
"596","GSM5870250","Tumor"
"597","GSM5870251","Normal"
"598","GSM5870252","Normal"
"599","GSM5870253","Normal"
"600","GSM5870254","Normal"
"601","GSM5870255","Normal"
"602","GSM5870256","Tumor"
"603","GSM5870257","Normal"
"604","GSM5870258","Normal"
"616","GSM3830056","SCLC"
"617","GSM3830057","SCLC"
"618","GSM3830058","SCLC"
"619","GSM3830059","SCLC"
"620","GSM3830060","SCLC"
"621","GSM3830061","SCLC"
"622","GSM3830062","SCLC"
"623","GSM3830063","SCLC"
"624","GSM4186956","SCLC"
"625","GSM4186957","SCLC"
"626","GSM4186958","SCLC"
"627","GSM4186959","SCLC"
"628","GSM4186960","SCLC"
"629","GSM4301252","SCLC"
"630","GSM4301253","SCLC"
"631","GSM4301254","SCLC"
"632","GSM4301255","SCLC"
"633","GSM4301256","SCLC"
"634","GSM4301257","SCLC"
"635","GSM4301258","SCLC"
"636","GSM4301259","SCLC"
"637","GSM4301260","SCLC"
"638","GSM4301261","SCLC"
"696","GSM4186956","SCLC"
"697","GSM4186957","SCLC"
"698","GSM4186958","SCLC"
"699","GSM4186959","SCLC"
"700","GSM4186960","SCLC"
