"accession" "groups"
"1" "GSM3635278" "SCLC"
"2" "GSM3635279" "SCLC"
"3" "GSM3635280" "SCLC"
"4" "GSM3635281" "SCLC"
"5" "GSM3635285" "SCLC"
"6" "GSM3635286" "SCLC"
"7" "GSM3635288" "SCLC"
"8" "GSM3635289" "SCLC"
"9" "GSM3635290" "SCLC"
"10" "GSM3635292" "SCLC"
"11" "GSM3635293" "SCLC"
"12" "GSM3635294" "SCLC"
"13" "GSM3635296" "SCLC"
"14" "GSM3635297" "SCLC"
"15" "GSM3635298" "SCLC"
"16" "GSM3635299" "SCLC"
"17" "GSM3635301" "SCLC"
"18" "GSM3635302" "SCLC"
"19" "GSM5032894" "Tumor"
"20" "GSM5444604" "SCLC"
"21" "GSM5444605" "SCLC"
"22" "GSM5444606" "SCLC"
"23" "GSM5444607" "SCLC"
"24" "GSM5444608" "SCLC"
"25" "GSM5444609" "SCLC"
"26" "GSM5444610" "SCLC"
"27" "GSM5444611" "SCLC"
"28" "GSM5444612" "SCLC"
"29" "GSM5444613" "SCLC"
"30" "GSM5444614" "SCLC"
"31" "GSM5444615" "SCLC"
"32" "GSM5444616" "SCLC"
"33" "GSM5444617" "SCLC"
"34" "GSM5444618" "SCLC"
"35" "GSM5444619" "SCLC"
"36" "GSM5444620" "SCLC"
"37" "GSM5444621" "SCLC"
"38" "GSM5444622" "SCLC"
"39" "GSM5444623" "SCLC"
"40" "GSM5444624" "SCLC"
"41" "GSM5444625" "SCLC"
"42" "GSM5444626" "SCLC"
"43" "GSM5444627" "SCLC"
"44" "GSM5444628" "SCLC"
"45" "GSM5444629" "SCLC"
"46" "GSM5444630" "SCLC"
"47" "GSM5444631" "SCLC"
"48" "GSM5444632" "SCLC"
"49" "GSM5444633" "SCLC"
"50" "GSM5444634" "SCLC"
"51" "GSM5444635" "SCLC"
"52" "GSM5444636" "SCLC"
"53" "GSM5444637" "SCLC"
"54" "GSM5444638" "SCLC"
"55" "GSM5444639" "SCLC"
"56" "GSM5444640" "SCLC"
"57" "GSM5444641" "SCLC"
"58" "GSM5444642" "SCLC"
"59" "GSM5444643" "SCLC"
"60" "GSM5444644" "SCLC"
"61" "GSM5444645" "SCLC"
"62" "GSM5444646" "SCLC"
"63" "GSM5444647" "SCLC"
"64" "GSM5444648" "SCLC"
"65" "GSM5444649" "SCLC"
"66" "GSM5444650" "SCLC"
"67" "GSM5870246" "Normal"
"68" "GSM5870247" "Normal"
"69" "GSM5870248" "Normal"
"70" "GSM5870249" "Normal"
"71" "GSM5870250" "Tumor"
"72" "GSM5870251" "Normal"
"73" "GSM5870252" "Normal"
"74" "GSM5870253" "Normal"
"75" "GSM5870254" "Normal"
"76" "GSM5870255" "Normal"
"77" "GSM5870256" "Tumor"
"78" "GSM5870257" "Normal"
"79" "GSM5870258" "Normal"
"80" "GSM3830056" "SCLC"
"81" "GSM3830057" "SCLC"
"82" "GSM3830058" "SCLC"
"83" "GSM3830059" "SCLC"
"84" "GSM3830060" "SCLC"
"85" "GSM3830061" "SCLC"
"86" "GSM3830062" "SCLC"
"87" "GSM3830063" "SCLC"
"88" "GSM4186956" "SCLC"
"89" "GSM4186957" "SCLC"
"90" "GSM4186958" "SCLC"
"91" "GSM4186959" "SCLC"
"92" "GSM4186960" "SCLC"
"93" "GSM4301252" "SCLC"
"94" "GSM4301253" "SCLC"
"95" "GSM4301254" "SCLC"
"96" "GSM4301255" "SCLC"
"97" "GSM4301256" "SCLC"
"98" "GSM4301257" "SCLC"
"99" "GSM4301258" "SCLC"
"100" "GSM4301259" "SCLC"
"101" "GSM4301260" "SCLC"
"102" "GSM4301261" "SCLC"
"103" "GSM4186956" "SCLC"
"104" "GSM4186957" "SCLC"
"105" "GSM4186958" "SCLC"
"106" "GSM4186959" "SCLC"
"107" "GSM4186960" "SCLC"
